GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
s0,edu.brown.cs.student.server.CSV,LoadedCSV,33,0,0,0,14,0,7,0,7,0
s0,edu.brown.cs.student.server.Handlers,WildCardHandler.EndpointNotFound,31,0,0,0,5,0,5,0,5,0
s0,edu.brown.cs.student.server.Handlers,BroadbandHandler,0,130,1,11,0,29,1,7,0,2
s0,edu.brown.cs.student.server.Handlers,ViewHandler.ViewLoadedFile,42,0,0,0,12,0,5,0,5,0
s0,edu.brown.cs.student.server.Handlers,BroadbandHandler.BroadbandFailure,6,32,0,0,2,3,1,5,1,5
s0,edu.brown.cs.student.server.Handlers,SearchHandler.SuccessfullySearched,56,0,0,0,11,0,7,0,7,0
s0,edu.brown.cs.student.server.Handlers,ViewHandler,24,0,2,0,7,0,3,0,2,0
s0,edu.brown.cs.student.server.Handlers,ViewHandler.ViewNotLoaded,31,0,0,0,5,0,5,0,5,0
s0,edu.brown.cs.student.server.Handlers,LoadHandler.FileFailureLoaded,38,0,0,0,5,0,6,0,6,0
s0,edu.brown.cs.student.server.Handlers,SearchHandler,238,0,28,0,50,0,16,0,2,0
s0,edu.brown.cs.student.server.Handlers,LoadHandler.new CreatorFromRow() {...},8,0,0,0,2,0,2,0,2,0
s0,edu.brown.cs.student.server.Handlers,SearchHandler.FailureToSearch,38,0,0,0,5,0,6,0,6,0
s0,edu.brown.cs.student.server.Handlers,LoadHandler,91,0,4,0,23,0,4,0,2,0
s0,edu.brown.cs.student.server.Handlers,LoadHandler.FileSuccessfullyLoaded,42,0,0,0,11,0,5,0,5,0
s0,edu.brown.cs.student.server.Handlers,BroadbandHandler.BroadbandSuccess,5,44,0,0,3,9,0,6,0,6
s0,edu.brown.cs.student.server.Handlers,WildCardHandler,9,0,0,0,3,0,2,0,2,0
s0,edu.brown.cs.student.CSVCode.main,Main.new CreatorFromRow() {...},8,0,0,0,2,0,2,0,2,0
s0,edu.brown.cs.student.CSVCode.main,Main,319,0,46,0,112,0,26,0,3,0
s0,edu.brown.cs.student.server.Main,Server,72,0,0,0,19,0,3,0,3,0
s0,edu.brown.cs.student.CSVCode.Parsing,FactoryFailureException,10,0,0,0,3,0,1,0,1,0
s0,edu.brown.cs.student.CSVCode.Parsing,Parse,81,0,2,0,27,0,6,0,5,0
s0,edu.brown.cs.student.CSVCode.Search,ColumnIdentifier.Identifier,0,21,0,0,0,4,0,1,0,1
s0,edu.brown.cs.student.CSVCode.Search,Search.new CreatorFromRow() {...},8,0,0,0,2,0,2,0,2,0
s0,edu.brown.cs.student.CSVCode.Search,ColumnIdentifier,3,0,0,0,1,0,1,0,1,0
s0,edu.brown.cs.student.CSVCode.Search,Search,307,116,43,15,82,34,27,8,3,3
s0,edu.brown.cs.student.server.ACS,ACSAPISource,93,258,7,13,17,61,7,9,0,6
s0,edu.brown.cs.student.server.ACS,BroadbandData,4,9,0,0,1,1,1,2,1,2
s0,edu.brown.cs.student.server.ACS,DatasourceException,7,7,0,0,3,3,1,1,1,1
s0,edu.brown.cs.student.server.ACS,Location,6,15,0,0,1,1,1,3,1,3
s0,edu.brown.cs.student.server.ACS,StateIds,5,16,1,1,2,7,2,3,1,3
s0,edu.brown.cs.student.server.Caching,CachedItems,8,56,1,1,2,12,2,4,1,4
s0,edu.brown.cs.student.server.Caching,OurRemoveCache,66,18,9,1,20,6,6,2,1,2
